,Name,Quantity in Stock,Cost Per Unit,Cost Per Round,Round Count,Grain,SKU,DateTime
63,200 Round Case - 45 Auto 200 Grain Winchester USA Ready Defense Ammo - RED45HPSKU: RED45HP - CaseAvailable Stock: 11 $179.50 Each (price per round $0.90),11,179.5,0.9,200,200, RED45HP - Case,2024-08-28 20:03:10.411217
64,25 Round Box - 45 Auto 165 Grain Sellier Bellot XRG Hollow Point Defense Ammo - SB45XASKU: SB45XA - BoxAvailable Stock: 27 $17.95 Each 10+ @ $15.95 Each (price per round $0.72),27,17.95,0.72,25,165, SB45XA - Box,2024-08-28 20:03:10.411217
65,20 Round Box - 45 Auto 230 Grain Hollow Point Remington Ultimate Defense - HD45APBNSKU: HD45APBNAvailable Stock: 50 $14.95 Each 25+ @ $13.95 Each (price per round $0.75),50,14.95,0.75,20,230, HD45APBN,2024-08-28 20:03:10.411217
66,500 Round Case - 45 Auto 230 Grain Hollow Point Remington Ultimate Defense - HD45APBNSKU: HD45APBN - BoxAvailable Stock: 4 $348.75 Each FREE SHIPPING (price per round $0.70),4,348.75,0.7,500,230, HD45APBN - Box,2024-08-28 20:03:10.411217
67,20 Round Box - 45 Auto +P 185 Grain DPX Hollow Point Corbon Ammo - DPX45185/20SKU: DPX45185/20 - boxAvailable Stock: 182 $21.95 Each 10+ @ $20.95 Each (price per round $1.10),182,21.95,1.1,20,185, DPX45185/20 - box,2024-08-28 20:03:10.411217
68,50 Round Box - 45 Auto 230 Grain FMJ Federal Gold Medal Match Ammo - GM45ASKU: GM45A - BoxAvailable Stock: 7 $39.95 Each 10+ @ $38.95 Each (price per round $0.80),7,39.95,0.8,50,230, GM45A - Box,2024-08-28 20:03:10.411217
69,50 Round Box - 45 Auto 185 Grain FMJ Semi-Wadcutter Federal Gold Medal Match Ammo - GM45BSKU: GM45B - BoxAvailable Stock: 1 $39.95 Each 10+ @ $38.95 Each (price per round $0.80),1,39.95,0.8,50,185, GM45B - Box,2024-08-28 20:03:10.411217
70,50 Round Box - 45 Auto 185 Grain Remington Golden Saber BJHP Hollow Point Ammo - GS45APABSKU: GS45APAB - boxAvailable Stock: 88 $36.95 Each 10+ @ $35.95 Each (price per round $0.74),88,36.95,0.74,50,185, GS45APAB - box,2024-08-28 20:03:10.411217
71,500 Round Case - 45 Auto 185 Grain Remington Golden Saber BJHP Hollow Point Ammo - GS45APABSKU: GS45APAB - caseAvailable Stock: 8 $359.50 Each FREE SHIPPING (price per round $0.72),8,359.5,0.72,500,185, GS45APAB - case,2024-08-28 20:03:10.411217
72,50 Round Box - 45 Auto +P 185 Grain Remington Golden Saber BJHP Hollow Point Ammo - GS45APCBSKU: GS45APCB - boxAvailable Stock: 70 $36.95 Each 10+ @ $35.95 Each (price per round $0.74),70,36.95,0.74,50,185, GS45APCB - box,2024-08-28 20:03:10.411217
